X,Y
2.2483570765056164,1.9308678494144076
2.3238442690503462,2.761514928204013
1.882923312638332,1.8829315215254097
2.7896064077536957,2.3837173645764542
1.765262807032524,2.2712800217929825
1.7682911535937689,1.7671351232148715
2.1209811357830173,1.043359877671101
5.137541083743484,5.718856235379514
5.493584439832788,6.157123666297637
5.545987962239394,5.293848149332354
6.732824384460777,5.8871118497567325
6.033764102343962,5.287625906893272
5.727808637737409,6.055461294854933
5.424503211288848,6.187849009172836
9.699680655040597,1.8541531251033616
9.699146693885302,2.926139092254469
9.993251387631034,1.4711445355220498
10.411272456051595,1.3895781750144889
10.104431797502377,1.020164938060112
9.335906975550785,2.0984306179345618
